Name,Main_Language,Location,Date,Pushed_to_repos,Main_languages,Tota_issues,Total_forks,Total_stars,Followers,Following
sindresorhus,JavaScript,,21/12/2009,100 ,4 ,1161 ,29833 ,280382 ,37834 ,51 
996icu,,,26/03/2019,0 ,0 ,16772 ,21113 ,249723 ,249709 ,0 
kamranahmedse,JavaScript,"Dubai, UAE",2/07/2013,50 ,9 ,240 ,22458 ,165130 ,12453 ,133 
donnemartin,Python,"Washington, D.C.",15/09/2013,27 ,7 ,418 ,29004 ,164239 ,9505 ,3 
getify,JavaScript,"Austin, TX",8/11/2009,53 ,3 ,338 ,27090 ,145876 ,26733 ,2 
sebastianbergmann,PHP,"Siegburg, Germany",19/09/2008,68 ,6 ,279 ,4294 ,124512 ,5452 ,0 
JakeWharton,Java,"Pittsburgh, PA, USA",25/03/2009,100 ,8 ,1088 ,23066 ,123334 ,57657 ,12 
jwasham,Python,United States,5/03/2013,32 ,11 ,67 ,36646 ,124124 ,8802 ,8 
justjavac,JavaScript,"Tianjin, China",10/08/2010,79 ,7 ,185 ,31669 ,116457 ,13171 ,111 
tj,Go," London, UK",19/09/2008,96 ,8 ,807 ,7401 ,97775 ,43010 ,45 
CyC2018,Java,"Guangzhou, China",8/02/2018,15 ,6 ,78 ,34479 ,105793 ,10400 ,5 
ruanyf,JavaScript,"Shanghai, China",10/07/2011,56 ,6 ,1038 ,30163 ,103797 ,60757 ,0 
typicode,JavaScript,,20/09/2013,57 ,4 ,1415 ,12383 ,99473 ,5439 ,3 
trekhleb,JavaScript,Amsterdam,9/12/2012,15 ,5 ,261 ,15973 ,93269 ,4651 ,7 
torvalds,C,"Portland, OR",4/09/2011,6 ,2 ,353 ,32122 ,92557 ,115118 ,0 
kelseyhightower,Go,"Portland, OR",13/10/2011,99 ,5 ,3986 ,13406 ,82848 ,14404 ,13 
vinta,Python,"Taipei, Taiwan",5/03/2011,24 ,11 ,105 ,16663 ,86124 ,3596 ,121 
Snailclimb,Java,"Wuhan, Hubei",4/07/2017,15 ,4 ,65 ,29256 ,86307 ,4348 ,55 
jlevy,Python,"Mountain View, California",29/07/2012,22 ,5 ,295 ,9316 ,84963 ,1683 ,155 
hakimel,JavaScript,Sweden,21/02/2011,23 ,3 ,611 ,19468 ,76457 ,10017 ,28 
wasabeef,Java,"Tokyo, Japan",9/06/2012,29 ,7 ,539 ,16247 ,75497 ,7370 ,48 
jashkenas,JavaScript,Berkeley & SF,4/04/2008,21 ,7 ,326 ,14251 ,74871 ,12328 ,0 
antirez,C,"Campobello di Licata, Sicily, Italy",22/03/2009,62 ,7 ,3528 ,22665 ,74890 ,13887 ,3 
jamiebuilds,JavaScript,"Oakland, CA",2/08/2011,95 ,6 ,301 ,5002 ,67399 ,6686 ,16 
tpope,Vim script,"Brooklyn, NY",19/02/2008,83 ,8 ,821 ,5231 ,73056 ,12757 ,21 
mrdoob,JavaScript,,20/06/2009,33 ,4 ,649 ,25735 ,72903 ,13737 ,146 
danistefanovic,JavaScript,"St. Gallen, Switzerland",14/05/2012,11 ,3 ,95 ,5853 ,73138 ,1658 ,2 
substack,JavaScript,puna district,5/06/2008,100 ,5 ,801 ,3504 ,40419 ,13545 ,221 
junegunn,Ruby,,31/03/2011,93 ,14 ,718 ,3635 ,69935 ,4609 ,0 
PanJiaChen,JavaScript,"Shanghai, China",10/07/2014,54 ,5 ,904 ,25202 ,70118 ,7052 ,78 
jaywcjlove,JavaScript,"Shanghai, China",26/04/2012,85 ,9 ,434 ,11325 ,69920 ,3919 ,101 
astaxie,Go,"Shanghai, China",31/03/2010,50 ,5 ,1075 ,16685 ,68512 ,13454 ,17 
bailicangdu,JavaScript ,"Shanghai, China",5/07/2016,20 ,5 ,219 ,22733 ,68669 ,11231 ,18 
necolas,JavaScript,"San Francisco, CA",9/04/2010,64 ,5 ,202 ,11456 ,66680 ,8295 ,28 
trimstray,Shell,Poland,18/08/2017,15 ,2 ,43 ,6344 ,66653 ,1756 ,216 
tonsky,Clojure,"Munich, Germany",24/05/2010,61 ,12 ,416 ,2597 ,59841 ,2331 ,39 
iluwatar,Java,"Tampere, Finland",25/01/2011,8 ,4 ,207 ,18861 ,58476 ,2646 ,0 
MisterBooo,Objective-C,"Guangzhou, China",25/10/2015,39 ,8 ,6 ,10838 ,57894 ,5242 ,12 
jaredpalmer,JavaScript,"New York, NY",5/04/2013,92 ,9 ,1063 ,3695 ,56655 ,4329 ,324 
rstacruz,JavaScript,"Manila, PH / Melbourne, AU",16/04/2009,100 ,10 ,1122 ,4710 ,39347 ,4662 ,25 
nvbn,Python,"Amsterdam, The Netherlands",10/10/2011,89 ,12 ,613 ,3100 ,56459 ,1407 ,9 
nicklockwood,Objective-C,London,4/01/2011,81 ,6 ,1349 ,8803 ,56385 ,5355 ,1 
avelino,Python,"Kailua, HI",1/11/2008,95 ,15 ,136 ,7527 ,55875 ,2676 ,272 
minimaxir,Python,San Francisco,20/08/2012,99 ,9 ,465 ,4499 ,55433 ,2956 ,1 
sharkdp,PureScript,"Stuttgart, Germany",20/04/2013,92 ,12 ,178 ,1528 ,55331 ,2977 ,20 
phodal,JavaScript,"Shanghai / Hangzhou, China",8/11/2010,99 ,15 ,239 ,4557 ,25134 ,16155 ,16 
jgthms,CSS,London,11/12/2011,40 ,5 ,491 ,5050 ,53803 ,4164 ,4 
jakubroztocil,Python,,9/07/2010,30 ,7 ,254 ,4023 ,52954 ,1360 ,37 
developit,JavaScript ,"Cambridge, MA",15/07/2009,95 ,4 ,577 ,2610 ,47045 ,8089 ,275 
spf13,Go,NYC,29/12/2009,57 ,11 ,1199 ,7713 ,50460 ,8298 ,78 
enaqx,JavaScript,,15/01/2010,39 ,6 ,63 ,7625 ,49233 ,1097 ,0 
blueimp,JavaScript,"Tokyo, Japan",15/04/2010,33 ,7 ,76 ,13630 ,48661 ,3739 ,0 
wesbos,JavaScript,"Hamilton, Ontario",4/01/2010,93 ,6 ,422 ,30382 ,46929 ,20279 ,31 
ankane,Ruby,"San Francisco, C",11/03/2010,100 ,7 ,90 ,3494 ,44330 ,2500 ,129 
bevacqua,JavaScript,,24/07/2011,97 ,5 ,566 ,3833 ,45661 ,4321 ,46 
addyosmani,JavaScript,"Mountain View, California",2/08/2009,89 ,8 ,390 ,4666 ,43811 ,35709 ,255 
keijiro,C++,Japan,26/07/2010,100 ,8 ,120 ,1902 ,16102 ,12132 ,0 
chrislgarry,C,"Tokyo, Japan",23/08/2012,21 ,10 ,95 ,6516 ,47406 ,1611 ,17 
rasbt,Jupyter Notebook,"Madison, WI",6/10/2013,63 ,11 ,197 ,15321 ,46953 ,12456 ,33 
adam-p,JavaScript,"Toronto, Canada",4/10/2010,38 ,9 ,280 ,8469 ,46769 ,841 ,3 
jondot,JavaScript,"Tel Aviv, Israe",12/05/2009,90 ,11 ,282 ,4431 ,41061 ,1022 ,60 
zenorocha,JavaScript,California,14/09/2010,83 ,7 ,95 ,5731 ,46065 ,6957 ,222 
josephmisiti,Python,"NYC, NY",18/04/2010,36 ,11 ,11 ,11408 ,45390 ,2444 ,273 
chrisbanes,Java,"London, UK",22/03/2010,21 ,4 ,379 ,13423 ,45208 ,14921 ,1 
kdn251,Java,"New York, New York",27/01/2016,16 ,8 ,73 ,9477 ,44752 ,2126 ,12 
sahat,JavaScript," New York, NY",3/01/2011,79 ,11 ,402 ,8946 ,44464 ,3778 ,18 
daimajia,Java,"Beijing, China",7/10/2012,42 ,7 ,948 ,10793 ,44110 ,23289 ,244 
mafintosh,JavaScript,"Copenhagen, Denmark",26/08/2010,100 ,6 ,771 ,2585 ,19444 ,4963 ,299 
fengdu78,Jupyter Notebook,"Qingdao,China",2/03/2017,7 ,2 ,118 ,16747 ,42967 ,7883 ,17 
BurntSushi,Rust,"Marlborough, MA",28/10/2010,93 ,10 ,797 ,3475 ,42593 ,4129 ,1 
karpathy,Python,Stanford,11/04/2010,33 ,8 ,550 ,9901 ,42715 ,25297 ,5 
egoist,JavaScript,China,16/09/2014,100 ,6 ,1070 ,2403 ,31103 ,7165 ,38 
aymericdamien,Python,"San Francisco, CAhon",4/01/2015,7 ,4 ,217 ,15388 ,42602 ,4491 ,28 
Blankj,Java,Hangzhou,21/03/2016,42 ,5 ,198 ,11794 ,42141 ,3623 ,9 
prakhar1989,JavaScript,"San Francisco, CA",4/03/2011,94 ,20 ,223 ,9864 ,41694 ,4684 ,112 
mathiasbynens,JavaScript,Germany,7/05/2009,96 ,7 ,478 ,10780 ,35643 ,8924 ,155 
NARKOZ,Ruby,"Baku, Azerbaijan",27/04/2010,84 ,10 ,88 ,6983 ,41217 ,4420 ,14 
fogleman,Go,"Cary, NC",13/12/2010,100 ,9 ,406 ,3822 ,39292 ,3944 ,7 
maxogden,JavaScript,,11/12/2008,92 ,10 ,569 ,3446 ,29252 ,6213 ,820 
ageitgey,Python,Various places,6/07/2011,38 ,10 ,549 ,10401 ,40414 ,2841 ,1 
ziishaned,JavaScript,"Dubai, UAE",12/12/2015,46 ,9 ,115 ,5211 ,40352 ,749 ,94 
bvaughn,JavaScript,"Mountain View, CA",18/10/2008,89 ,5 ,537 ,3696 ,39529 ,5292 ,1 
unknwon,Go,"Hangzhou, China",3/12/2012,39 ,5 ,73 ,10516 ,40037 ,9962 ,4 
gaearon,JavaScript,,26/05/2011,96 ,7 ,450 ,5015 ,37777 ,56883 ,171 
karan,JavaScript,Seattle,14/01/2013,98 ,13 ,505 ,11377 ,39481 ,3448 ,0 
JedWatson,JavaScript,Sydney,24/06/2011,87 ,6 ,1610 ,5135 ,38841 ,3408 ,23 
Trinea,Java,HangZhou,3/11/2011,17 ,3 ,80 ,16973 ,38493 ,16286 ,38 
scutan90,,,11/09/2017,3 ,0 ,80 ,12068 ,38371 ,1913 ,1 
mgechev,TypeScript,"San Francisco, CA",27/10/2010,97 ,7 ,159 ,5158 ,31349 ,6743 ,2 
Dogfalo,JavaScript,,12/11/2012,16 ,5 ,769 ,4895 ,37665 ,1022 ,0 
ryanmcdermott,JavaScript,San Francisco,30/07/2013,31 ,12 ,51 ,4625 ,37937 ,1305 ,4 
soimort,Python,"Home, Earth",25/07/2010,46 ,17 ,433 ,7030 ,37766 ,2126 ,45 
alvarotrigo,JavaScript,"Cambridge, UK",5/05/2012,41 ,8 ,333 ,8480 ,37663 ,2572 ,10 
ripienaar,Go,Malta,8/05/2009,97 ,7 ,81 ,4220 ,37107 ,1078 ,0 
onevcat,Swift,"Kawasaki, Japan / China",2/09/2011,82 ,15 ,250 ,5158 ,34699 ,13155 ,129 
defunkt,Ruby,,20/10/2007,90 ,8 ,522 ,5683 ,36386 ,20991 ,210 
juliangarnier,,Paris,17/12/2011,9 ,1 ,142 ,3085 ,36433 ,2342 ,6 
greenrobot,Java,Berlin,12/04/2010,16 ,2 ,351 ,7573 ,36160 ,5261 ,0 
vsouza,Go,Brazil,17/11/2010,30 ,9 ,6 ,6119 ,36080 ,1121 ,298 
caolan,JavaScript,"Sheffield, UK",5/04/2008,94 ,13 ,434 ,3380 ,35513 ,2191 ,51 